block,trial,conditionNum,ltmtrialsoldnew,ltmTrialsOldInvalidCued,ltmTrialsOldInvalidTested,ltmTrialsOldValidCued,ltmWMblockNum,ltmWMtrialNum,ltmWMimageNum,imageNum,ltmrating,ltmratingrts,ltmresptestimgdiff,ltmrespcuediff,ltmrespwmrespdiff,ltmrespdeg,mousposdeg,ltmresprts,artifactfree
7,56,1,1.0,0.0,0.0,1.0,7,0,0,1191.0,1.0,0.8832055897737519,-29.945190414610487,-29.945190414610487,-28.309250550824714,-42.36756513101351,315.7959567910553,0.5337577703858187,1.0
7,57,1,1.0,0.0,0.0,1.0,7,5,0,672.0,1.0,1.4834402836395384,-93.56994745254002,-93.56994745254002,-97.08231492159365,170.14443908318574,171.29392631964447,0.3169835452008556,1.0
7,58,0,0.0,0.0,0.0,0.0,0,0,0,2069.0,3.0,0.833459442322237,0.0,0.0,0.0,0.0,199.11072426038533,0.0,1.0
7,59,2,1.0,1.0,0.0,0.0,7,20,0,1109.0,4.0,0.6834911453815948,-11.293333559784045,-54.179434430914526,-13.183283525551445,53.17619709844555,85.65113953473174,0.7422957576063709,1.0
8,0,0,0.0,0.0,0.0,0.0,0,0,0,109.0,4.0,7.567362442367994,0.0,0.0,0.0,0.0,311.85833805556854,0.0,1.0
8,1,0,0.0,0.0,0.0,0.0,0,0,0,318.0,4.0,0.641644818545501,0.0,0.0,0.0,0.0,250.41832687711016,0.0,1.0
8,2,0,0.0,0.0,0.0,0.0,0,0,0,1781.0,4.0,0.566738074575369,0.0,0.0,0.0,0.0,328.8658130596375,0.0,1.0
8,3,0,0.0,0.0,0.0,0.0,0,0,0,1325.0,4.0,0.5582691954605252,0.0,0.0,0.0,0.0,75.99552189111138,0.0,1.0
8,4,0,0.0,0.0,0.0,0.0,0,0,0,2335.0,4.0,0.7583437204566508,0.0,0.0,0.0,0.0,18.863858530279543,0.0,1.0
8,5,3,1.0,0.0,1.0,0.0,8,2,1,1707.0,1.0,1.0501435760816094,15.337063574822778,-116.43913767401295,1.2338038475410942,-49.45329874439392,244.50446848200957,1.2087851684418638,1.0
8,6,2,1.0,1.0,0.0,0.0,8,7,0,2051.0,3.0,1.8660859380970578,136.43784576117403,10.683668275415577,61.405330674869234,25.3241814019472,204.1896094693156,0.8170479776754291,1.0
8,7,3,1.0,0.0,1.0,0.0,8,8,1,1797.0,1.0,1.0251725706957586,-4.603738095612161,131.95465790304337,-12.284694379169913,-152.78388844269253,325.6517941319258,1.526213468782771,1.0
8,8,3,1.0,0.0,1.0,0.0,8,19,1,2083.0,1.0,1.4001826917265134,16.53194852312737,142.80058395408724,29.874979553887115,17.233115758469893,16.933228007283795,0.8919994822590525,1.0
8,9,0,0.0,0.0,0.0,0.0,0,0,0,1962.0,3.0,2.191427173625925,0.0,0.0,0.0,0.0,205.04516431235697,0.0,1.0
8,10,2,1.0,1.0,0.0,0.0,8,23,0,1604.0,4.0,1.4336080361554195,26.85966882474623,-94.32605157003472,89.3880175041392,-30.393262645553015,340.928200248559,1.0251386438621921,1.0
8,11,0,0.0,0.0,0.0,0.0,0,0,0,2331.0,1.0,3.483414909788735,0.0,0.0,0.0,0.0,65.80310923646643,0.0,1.0
8,12,1,1.0,0.0,0.0,1.0,8,12,0,40.0,1.0,1.8169154064325994,98.59407302412404,98.59407302412404,-98.87825253917978,127.06444962991118,127.98148925779186,0.9171663509659993,1.0
8,13,0,0.0,0.0,0.0,0.0,0,0,0,6.0,3.0,3.375272127423159,0.0,0.0,0.0,0.0,91.15638520757909,0.0,1.0
8,14,0,0.0,0.0,0.0,0.0,0,0,0,1394.0,4.0,1.1584711028908714,0.0,0.0,0.0,0.0,143.4236311134028,0.0,1.0
8,15,1,1.0,0.0,0.0,1.0,8,20,0,14.0,1.0,0.8751002124563456,90.09507747284222,90.09507747284222,-138.00943641187632,-50.65948184016249,117.41440019387765,2.9174383358404157,0.0
8,16,0,0.0,0.0,0.0,0.0,0,0,0,184.0,4.0,4.76736369680475,0.0,0.0,0.0,0.0,132.27104843318776,0.0,1.0
8,17,0,0.0,0.0,0.0,0.0,0,0,0,1097.0,4.0,1.3083954945168443,0.0,0.0,0.0,0.0,161.7005719543628,0.0,1.0
8,18,1,1.0,0.0,0.0,1.0,8,9,0,1229.0,4.0,0.899531524586564,118.71424842001815,118.71424842001815,-89.95767216101864,-168.78115771873118,168.02852844100326,1.0585788134621907,1.0
8,19,1,1.0,0.0,0.0,1.0,8,4,0,614.0,1.0,0.9001102764668758,7.456116891931795,7.456116891931795,7.956556381941064,-146.51073461747316,31.00821033480244,0.9337246418290306,0.0
8,20,0,0.0,0.0,0.0,0.0,0,0,0,704.0,3.0,1.057908829758162,0.0,0.0,0.0,0.0,326.95943180223105,0.0,1.0
8,21,1,1.0,0.0,0.0,1.0,8,10,0,1770.0,3.0,0.8835206246640155,88.57924232149541,88.57924232149541,109.6226511669436,-29.713708405832495,77.80139857885713,1.492151497285704,1.0
8,22,0,0.0,0.0,0.0,0.0,0,0,0,301.0,4.0,2.899879345914087,0.0,0.0,0.0,0.0,232.8156986400816,0.0,1.0
8,23,3,1.0,0.0,1.0,0.0,8,7,1,1057.0,2.0,1.2416380331787877,101.73597582335728,-24.01820166240117,26.703460737052474,60.02605133976395,95.36157238391758,0.6337085052000475,0.0
8,24,0,0.0,0.0,0.0,0.0,0,0,0,387.0,2.0,1.1749458596150362,0.0,0.0,0.0,0.0,62.88903539414762,0.0,1.0
8,25,0,0.0,0.0,0.0,0.0,0,0,0,1088.0,4.0,12.493370012327432,0.0,0.0,0.0,0.0,206.0130359489256,0.0,1.0
8,26,1,1.0,0.0,0.0,1.0,8,15,0,980.0,3.0,0.8333473982393116,-103.76706998668635,-103.76706998668635,-91.20021153932802,-99.21764420993867,232.71340317170683,1.1417514457398283,0.0
8,27,2,1.0,1.0,0.0,0.0,8,21,0,1153.0,4.0,1.9239765214906583,107.20103274900306,-116.35691270317724,100.51187246466193,-146.0280366944268,178.57074015565883,1.1087389253125366,1.0
8,28,2,1.0,1.0,0.0,0.0,8,8,0,922.0,4.0,1.0258921617032684,149.52877741186578,-73.91282658947868,141.84782112830806,53.08359604982952,56.325852332280405,0.550426394735041,1.0
8,29,0,0.0,0.0,0.0,0.0,0,0,0,1392.0,3.0,1.0998404013289473,0.0,0.0,0.0,0.0,267.27608690340804,0.0,1.0
8,30,0,0.0,0.0,0.0,0.0,0,0,0,1903.0,2.0,2.4588119677900977,0.0,0.0,0.0,0.0,329.146736691852,0.0,1.0
8,31,0,0.0,0.0,0.0,0.0,0,0,0,1956.0,4.0,1.3583836913985579,0.0,0.0,0.0,0.0,314.1076293083438,0.0,1.0
8,32,3,1.0,0.0,1.0,0.0,8,23,1,162.0,1.0,1.0501752221207425,-39.83809094338205,-161.02381133816297,22.69025773601095,36.304497122575235,64.58437711635838,0.9502624055321576,0.0
8,33,0,0.0,0.0,0.0,0.0,0,0,0,344.0,4.0,1.1167257012593836,0.0,0.0,0.0,0.0,268.9348014513911,0.0,1.0
8,34,0,0.0,0.0,0.0,0.0,0,0,0,576.0,4.0,0.6667329998053901,0.0,0.0,0.0,0.0,88.45920781905494,0.0,1.0
8,35,2,1.0,1.0,0.0,0.0,8,19,0,577.0,4.0,0.7080493267658312,102.05518152172601,-131.67618304731408,115.39821255248576,-68.29011724012877,315.6679042631083,2.7086822475421286,1.0
8,36,0,0.0,0.0,0.0,0.0,0,0,0,865.0,4.0,1.0077723811618853,0.0,0.0,0.0,0.0,252.60160142384984,0.0,1.0
8,37,1,1.0,0.0,0.0,1.0,8,17,0,1243.0,1.0,0.9080505812044066,0.3590869344455428,0.3590869344455428,1.75803792567402,89.2559407971113,218.99604863996765,1.1920364311481535,0.0
8,38,1,1.0,0.0,0.0,1.0,8,11,0,904.0,4.0,1.241918571035967,25.32592289366684,25.32592289366684,-90.82301380842173,-7.594643368591445,60.059920042438286,1.9839015745474171,1.0
8,39,0,0.0,0.0,0.0,0.0,0,0,0,1308.0,4.0,0.9001174039531179,0.0,0.0,0.0,0.0,213.90254497342258,0.0,1.0
8,40,1,1.0,0.0,0.0,1.0,8,16,0,1986.0,1.0,1.4250844179468913,-36.47348714916528,-36.47348714916528,-28.531379422369938,-47.19610719322973,18.770754434781473,0.9338016186811728,1.0
8,41,0,0.0,0.0,0.0,0.0,0,0,0,1453.0,4.0,0.8253189977731381,0.0,0.0,0.0,0.0,113.70764652584553,0.0,1.0
8,42,1,1.0,0.0,0.0,1.0,8,0,0,423.0,1.0,1.016800340295049,4.437993338177298,4.437993338177298,-6.7458376993830615,44.012239600360196,228.50634423674492,1.084001131273908,1.0
8,43,0,0.0,0.0,0.0,0.0,0,0,0,452.0,4.0,1.741675096106519,0.0,0.0,0.0,0.0,74.32665992747403,0.0,1.0
8,44,0,0.0,0.0,0.0,0.0,0,0,0,629.0,4.0,0.7492758474008951,0.0,0.0,0.0,0.0,108.95683329581856,0.0,1.0
8,45,3,1.0,0.0,1.0,0.0,8,21,1,808.0,3.0,0.8416663150437671,-13.294197459911446,123.14785708790824,-19.98335774425259,-25.53280648551226,151.05521314981635,0.9253737938870472,1.0
8,46,0,0.0,0.0,0.0,0.0,0,0,0,2309.0,4.0,0.9083228511772177,0.0,0.0,0.0,0.0,129.11912715874945,0.0,1.0
8,47,1,1.0,0.0,0.0,1.0,8,3,0,21.0,1.0,0.8334608678205768,9.328381332368119,9.328381332368119,9.81540591182826,-135.51616422976483,93.82405945382261,0.9004660805785534,0.0
8,48,1,1.0,0.0,0.0,1.0,8,18,0,2312.0,1.0,1.1418324139831384,29.417132187132346,29.417132187132346,42.01637436097281,168.6900675259798,129.09722899501546,2.1340463480473773,0.0
8,49,2,1.0,1.0,0.0,0.0,8,2,0,1698.0,4.0,1.1668176743405638,23.39413167136841,-108.38206957746732,9.290871944086689,-57.51036684093951,353.72488269238966,1.2088595793984496,1.0
8,50,1,1.0,0.0,0.0,1.0,8,6,0,1729.0,1.0,0.7167391579532705,-20.976270153326453,-20.976270153326453,-25.417707793650692,151.73359421759588,349.5321315022326,1.0591726756128992,1.0
8,51,0,0.0,0.0,0.0,0.0,0,0,0,550.0,3.0,1.1667808965121367,0.0,0.0,0.0,0.0,77.36638548441967,0.0,1.0
8,52,0,0.0,0.0,0.0,0.0,0,0,0,182.0,4.0,0.9001362205162877,0.0,0.0,0.0,0.0,147.34424303740772,0.0,1.0
8,53,0,0.0,0.0,0.0,0.0,0,0,0,63.0,4.0,1.1334895488244001,0.0,0.0,0.0,0.0,217.69077697241863,0.0,1.0
8,54,0,0.0,0.0,0.0,0.0,0,0,0,944.0,4.0,3.2582142853070764,0.0,0.0,0.0,0.0,75.1866779383461,0.0,1.0
8,55,1,1.0,0.0,0.0,1.0,8,13,0,2177.0,3.0,1.66692145054094,133.62608211904237,133.62608211904237,123.66665624067082,-23.229180889552616,330.94134496353723,2.592610849516859,1.0
8,56,1,1.0,0.0,0.0,1.0,8,22,0,825.0,1.0,0.9420523967173722,-165.42967989420808,-165.42967989420808,112.67815158054117,-29.744881296942225,332.94267380266604,0.86711771300088,0.0
8,57,1,1.0,0.0,0.0,1.0,8,1,0,2089.0,1.0,0.8835397263264895,-15.419420948922527,-15.419420948922527,-19.818190689953884,-21.755016152755637,207.12080372061126,1.3257147158064981,1.0
