block,trial,cueposbin,cueposdeg,cuevalid,wmresptestcolordiff,wmrespcueposdiff,wmrespdeg,wmrts,imageposbin0,imageposbin1,imageposdeg0,imageposdeg1,imagenum0,imagenum1,mouseposdeg
14,6,7.0,345.87491734015043,1,-32.437499999999957,62.294576178795246,48.169493518945686,1.2503786843153648,7.0,5.0,345.87491734015043,232.38003352406452,316,117,358.44887588940941
14,7,6.0,276.97959582897232,1,-7.6562500000000133,-31.981407501810494,-115.00181167283819,1.5255014983413275,6.0,4.0,276.97959582897232,186.17485594474377,382,375,13.175638852774544
15,0,2.0,104.59229113563475,1,-28.140624999999979,114.73235297919609,-140.67535588516915,1.8838299445924349,2.0,4.0,104.59229113563475,185.71760833705937,136,732,304.97988974116271
15,1,4.0,206.47431080358933,0,-26.015624999999989,-142.2192330143055,64.255077789283831,1.2838762448518537,4.0,2.0,206.47431080358933,106.84747045565635,31,261,75.054341170256137
15,2,5.0,240.50110723783769,1,6.3750000000000364,-107.09717109581338,133.40393614202429,1.3753945430071326,5.0,3.0,240.50110723783769,171.80264287668467,626,519,175.44402804208801
15,3,6.0,275.33573936031843,1,-20.718750000000028,-153.4932821003332,121.84245725998521,1.2088735150318826,6.0,0.0,275.33573936031843,8.5312951573995885,193,741,103.93746689316802
15,4,1.0,46.573513241271066,1,-16.765625000000007,148.86613229404821,-164.56035446468073,1.9255874275404494,1.0,5.0,46.573513241271066,230.33121055469405,123,16,280.08450154543726
15,5,3.0,161.77181935749729,1,-16.703125000000007,140.97905722274692,-57.249123419755797,1.3754869154654443,3.0,2.0,161.77181935749729,106.10721078696254,614,675,203.04210957664654
15,6,7.0,325.89113767462175,0,-113.48437500000001,-103.63484265084527,-137.74370497622348,1.4172917250543833,7.0,5.0,325.89113767462175,230.51656870314514,748,295,321.18067443640342
15,7,0.0,36.981946596061583,1,-3.4062499999999978,-146.24721090524162,-109.26526430918003,1.1923211687826551,0.0,5.0,36.981946596061583,236.81061410109859,82,455,273.62773524656342
16,0,7.0,355.4774762172778,1,1.6093749999999984,33.154678176735494,28.63215439401327,1.1923308621771866,7.0,6.0,355.4774762172778,303.59314385996862,541,75,0.66256793026115979
16,1,0.0,35.35185057525868,1,7.6406249999999973,-104.67278723120897,-69.320936655950277,1.633847549528582,0.0,3.0,35.35185057525868,156.41058496516916,246,266,109.63978862993883
